my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
#bidirectional hits
CBNIABCL_00110	 Chromosomal replication initiator protein DnaA	LFTS_00001	 chromosomal replication initiator protein DnaA	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
CBNIABCL_00109	 DNA polymerase III subunit beta	LFTS_00002	 DNA polymerase-3 subunit beta	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria
CBNIABCL_00108	 DNA gyrase subunit B	LFTS_00003	 DNA gyrase subunit B	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
CBNIABCL_00107	 DNA gyrase subunit A	LFTS_00004	 DNA gyrase subunit A	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
CBNIABCL_00106	 Outer membrane protein assembly factor BamD	LFTS_00005	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_00105	 7-carboxy-7-deazaguanine synthase	LFTS_00006	 7-carboxy-7-deazaguanine synthase	Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds
CBNIABCL_00104	 7-cyano-7-deazaguanine synthase	LFTS_00007	 7-cyano-7-deazaguanine synthase	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))
CBNIABCL_00103	 Cytosol aminopeptidase	LFTS_00008	 leucyl aminopeptidase	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
CBNIABCL_00102	 SsrA-binding protein	LFTS_00009	 SsrA-binding protein	the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA
CBNIABCL_00099	 putative methyltransferase	LFTS_00011	 HNH endonuclease	Methyltransferase domain
CBNIABCL_00098	 hypothetical protein	LFTS_00012	 hypothetical protein	
CBNIABCL_00097	 putative HTH-type transcriptional regulator YbaQ	LFTS_00013	 addiction module antidote protein, HigA family	TIGRFAM Addiction module antidote protein, HigA
CBNIABCL_00877	 hypothetical protein	LFTS_01797	 Transposase	Transposase
CBNIABCL_00876	 hypothetical protein	LFTS_01798	 putative transposase	PFAM Integrase catalytic region
CBNIABCL_00094	 Toxin HigB-1	LFTS_00016	 Plasmid maintenance system killer protein	PFAM Plasmid maintenance system killer
CBNIABCL_00093	 hypothetical protein	LFTS_00017	 hypothetical protein	
CBNIABCL_00092	 hypothetical protein	LFTS_00018	 Permease of the drug/metabolite transporter (DMT) superfamily protein	spore germination
CBNIABCL_00091	 2-isopropylmalate synthase	LFTS_00019	 2-isopropylmalate synthase	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
CBNIABCL_00090	 Leucine-responsive regulatory protein	LFTS_00020	 transcriptional regulator, AsnC family	AsnC-type helix-turn-helix domain
CBNIABCL_00089	 hypothetical protein	LFTS_00021	 ChrR Cupin-like domain-containing protein	COG3806 Anti-sigma factor
CBNIABCL_00088	 Alcohol dehydrogenase	LFTS_00022	 NADPH:quinone reductase	Zinc-binding dehydrogenase
CBNIABCL_00087	 putative NTE family protein	LFTS_00023	 NTE family protein	Esterase of the alpha-beta hydrolase superfamily
CBNIABCL_00086	 3'3'-cGAMP-specific phosphodiesterase 3	LFTS_00024	 HD domain-containing protein	HD domain
CBNIABCL_00085	 Putative 8-oxo-dGTP diphosphatase 2	LFTS_00025	 8-oxo-dGTP diphosphatase	NUDIX domain
CBNIABCL_00084	 Putative DNA repair helicase RadD	LFTS_00026	 ATP-dependent helicase IRC3	type III restriction enzyme, res subunit
CBNIABCL_00083	 hypothetical protein	LFTS_00027	 Zn-finger domain of CDGSH type-containing protein	Iron-binding zinc finger CDGSH type
CBNIABCL_00082	 hypothetical protein	LFTS_00028	 hypothetical protein	 Not found 
CBNIABCL_00081	 Diguanylate cyclase DosC	LFTS_00029	 diguanylate cyclase	diguanylate cyclase activity
CBNIABCL_00080	 Beta-carbonic anhydrase 1	LFTS_00030	 carbonic anhydrase	reversible hydration of carbon dioxide
CBNIABCL_00079	 Sulfide-quinone reductase	LFTS_00031	 sulfide:quinone oxidoreductase	Pyridine nucleotide-disulphide oxidoreductase
