	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00001	155540UniRef90_A4XKG5 Probable nicotinate-nucleotide adenylyltransferase n=2 Tax=Caldicellulosiruptor RepID=NADD_CALS8	58	20	7.32302E-12	67.26	45	C:GO:0000015; F:GO:0000166; F:GO:0000287; F:GO:0003824; F:GO:0004181; F:GO:0004365; F:GO:0004618; F:GO:0004634; F:GO:0004725; F:GO:0004737; F:GO:0005524; C:GO:0005576; C:GO:0005737; P:GO:0005975; P:GO:0006006; P:GO:0006096; P:GO:0006470; P:GO:0006508; F:GO:0008270; F:GO:0008865; C:GO:0009279; P:GO:0009306; P:GO:0009405; P:GO:0009966; C:GO:0009986; C:GO:0016020; C:GO:0016021; F:GO:0016301; P:GO:0016310; F:GO:0016491; F:GO:0016620; F:GO:0016740; F:GO:0016787; F:GO:0016829; F:GO:0016831; F:GO:0030976; P:GO:0035335; P:GO:0035821; C:GO:0042151; P:GO:0046835; F:GO:0046872; F:GO:0050661; F:GO:0051287; P:GO:0055114; F:GO:0090729	C:phosphopyruvate hydratase complex; F:nucleotide binding; F:magnesium ion binding; F:catalytic activity; F:metallocarboxypeptidase activity; F:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; F:phosphoglycerate kinase activity; F:phosphopyruvate hydratase activity; F:protein tyrosine phosphatase activity; F:pyruvate decarboxylase activity; F:ATP binding; C:extracellular region; C:cytoplasm; P:carbohydrate metabolic process; P:glucose metabolic process; P:glycolytic process; P:protein dephosphorylation; P:proteolysis; F:zinc ion binding; F:fructokinase activity; C:cell outer membrane; P:protein secretion; P:pathogenesis; P:regulation of signal transduction; C:cell surface; C:membrane; C:integral component of membrane; F:kinase activity; P:phosphorylation; F:oxidoreductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:transferase activity; F:hydrolase activity; F:lyase activity; F:carboxy-lyase activity; F:thiamine pyrophosphate binding; P:peptidyl-tyrosine dephosphorylation; P:modulation of process of other organism; C:nematocyst; P:carbohydrate phosphorylation; F:metal ion binding; F:NADP binding; F:NAD binding; P:oxidation-reduction process; F:toxin activity			IPR004821 (PFAM); IPR014729 (G3DSA:3.40.50.GENE3D); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SSF52374 (SUPERFAMILY)	F:GO:0003824; P:GO:0009058	F:catalytic activity; P:biosynthetic process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00002	188716UniRef90_A0LPG2 Gamma-glutamyl phosphate reductase n=1 Tax=Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB) RepID=PROA_SYNFM	239	20	3.55035E-65	68.9	1	F:GO:0005509	F:calcium ion binding			IPR016162 (G3DSA:3.40.605.GENE3D); IPR015590 (PFAM); IPR016163 (G3DSA:3.40.309.GENE3D); PTHR11063 (PANTHER); PTHR11063:SF8 (PANTHER); IPR016161 (SUPERFAMILY)	F:GO:0016491; F:GO:0016620; P:GO:0055114	F:oxidoreductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00003	188712UniRef90_B2V9F3 Gamma-glutamyl phosphate reductase n=4 Tax=Sulfurihydrogenibium RepID=PROA_SULSY	127	20	3.13874E-17	57.36	12	F:GO:0005515; C:GO:0005737; C:GO:0005886; C:GO:0005887; C:GO:0005925; P:GO:0007155; C:GO:0016020; C:GO:0016021; P:GO:0034109; P:GO:0050776; P:GO:0072683; P:GO:2000391	F:protein binding; C:cytoplasm; C:plasma membrane; C:integral component of plasma membrane; C:focal adhesion; P:cell adhesion; C:membrane; C:integral component of membrane; P:homotypic cell-cell adhesion; P:regulation of immune response; P:T cell extravasation; P:positive regulation of neutrophil extravasation			IPR016162 (G3DSA:3.40.605.GENE3D); PTHR11063 (PANTHER); PTHR11063:SF8 (PANTHER); IPR016161 (SUPERFAMILY)	F:GO:0016491; P:GO:0055114	F:oxidoreductase activity; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00004	188859UniRef90_Q9ZG98 Glutamate 5-kinase n=3 Tax=Meiothermus ruber RepID=PROB_MEIRU	284	20	1.95119E-61	59.2	25	C:GO:0000785; C:GO:0000790; F:GO:0000978; F:GO:0000981; F:GO:0001228; F:GO:0003677; F:GO:0003697; F:GO:0003700; F:GO:0005515; C:GO:0005634; C:GO:0005654; C:GO:0005730; C:GO:0005739; P:GO:0006260; P:GO:0006355; P:GO:0006357; P:GO:0010628; P:GO:0010629; F:GO:0019900; C:GO:0042025; P:GO:0045893; P:GO:0045944; F:GO:0046983; P:GO:0070584; P:GO:1903800	C:chromatin; C:nuclear chromatin; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA-binding transcription activator activity, RNA polymerase II-specific; F:DNA binding; F:single-stranded DNA binding; F:DNA-binding transcription factor activity; F:protein binding; C:nucleus; C:nucleoplasm; C:nucleolus; C:mitochondrion; P:DNA replication; P:regulation of transcription, DNA-templated; P:regulation of transcription by RNA polymerase II; P:positive regulation of gene expression; P:negative regulation of gene expression; F:kinase binding; C:host cell nucleus; P:positive regulation of transcription, DNA-templated; P:positive regulation of transcription by RNA polymerase II; F:protein dimerization activity; P:mitochondrion morphogenesis; P:positive regulation of production of miRNAs involved in gene silencing by miRNA			IPR001057 (PRINTS); IPR002478 (SMART); IPR002478 (PFAM); IPR036974 (G3DSA:2.30.130.GENE3D); IPR005715 (TIGRFAM); IPR001048 (PFAM); IPR036393 (G3DSA:3.40.1160.GENE3D); IPR011529 (PIRSF); mobidb-lite (MOBIDB_LITE); PTHR43654 (PANTHER); PTHR43654:SF3 (PANTHER); IPR002478 (PROSITE_PROFILES); IPR015947 (SUPERFAMILY); IPR036393 (SUPERFAMILY)	F:GO:0003723; F:GO:0004349; C:GO:0005737; P:GO:0006561	F:RNA binding; F:glutamate 5-kinase activity; C:cytoplasm; P:proline biosynthetic process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00005	168645UniRef90_C1F9K2 GTPase Obg n=1 Tax=Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161) RepID=OBG_ACIC5	431	20	5.28408E-97	68.73	21	P:GO:0000413; F:GO:0003755; F:GO:0004497; F:GO:0004503; F:GO:0005509; C:GO:0005737; C:GO:0005739; C:GO:0005741; C:GO:0005742; C:GO:0005829; P:GO:0006457; P:GO:0006605; P:GO:0006886; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016853; P:GO:0042438; F:GO:0045735; F:GO:0046872; P:GO:0055114	P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity; F:monooxygenase activity; F:monophenol monooxygenase activity; F:calcium ion binding; C:cytoplasm; C:mitochondrion; C:mitochondrial outer membrane; C:mitochondrial outer membrane translocase complex; C:cytosol; P:protein folding; P:protein targeting; P:intracellular protein transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:isomerase activity; P:melanin biosynthetic process; F:nutrient reservoir activity; F:metal ion binding; P:oxidation-reduction process			IPR006073 (PRINTS); IPR006073 (PFAM); IPR014100 (TIGRFAM); IPR036726 (G3DSA:2.70.210.GENE3D); G3DSA:3.40.50.300 (GENE3D); IPR006169 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR11702 (PANTHER); PTHR11702:SF31 (PANTHER); IPR006074 (PROSITE_PATTERNS); PS51883 (PROSITE_PROFILES); IPR031167 (PROSITE_PROFILES); IPR014100 (HAMAP); IPR031167 (CDD); IPR036726 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	F:GO:0000287; F:GO:0003924; F:GO:0005525	F:magnesium ion binding; F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00006	216294UniRef90_A6LQR8 50S ribosomal protein L27 n=11 Tax=Clostridiaceae RepID=RL27_CLOB8	92	20	1.1766E-38	80.33	66	F:GO:0000156; P:GO:0000160; P:GO:0000162; F:GO:0000166; F:GO:0000976; F:GO:0001216; F:GO:0003677; F:GO:0003700; F:GO:0003886; F:GO:0004386; F:GO:0004601; F:GO:0004834; F:GO:0005515; F:GO:0005524; C:GO:0005737; C:GO:0005829; C:GO:0005886; C:GO:0005887; P:GO:0006355; P:GO:0006568; P:GO:0006605; P:GO:0006811; P:GO:0006814; P:GO:0006865; P:GO:0006886; P:GO:0006979; F:GO:0008168; F:GO:0008379; P:GO:0008652; P:GO:0009073; P:GO:0009307; C:GO:0009321; P:GO:0009970; P:GO:0010041; P:GO:0015031; F:GO:0015293; F:GO:0015501; C:GO:0016020; C:GO:0016021; F:GO:0016209; F:GO:0016491; F:GO:0016684; F:GO:0016740; F:GO:0016787; F:GO:0016829; P:GO:0017038; P:GO:0019290; F:GO:0022857; P:GO:0032259; F:GO:0032843; C:GO:0032993; P:GO:0033194; P:GO:0033195; F:GO:0042802; P:GO:0045454; P:GO:0045893; P:GO:0046677; F:GO:0046872; F:GO:0051920; F:GO:0052689; P:GO:0055085; P:GO:0055114; P:GO:0065002; F:GO:0080030; P:GO:0090116; P:GO:0098869	F:phosphorelay response regulator activity; P:phosphorelay signal transduction system; P:tryptophan biosynthetic process; F:nucleotide binding; F:transcription regulatory region sequence-specific DNA binding; F:DNA-binding transcription activator activity; F:DNA binding; F:DNA-binding transcription factor activity; F:DNA (cytosine-5-)-methyltransferase activity; F:helicase activity; F:peroxidase activity; F:tryptophan synthase activity; F:protein binding; F:ATP binding; C:cytoplasm; C:cytosol; C:plasma membrane; C:integral component of plasma membrane; P:regulation of transcription, DNA-templated; P:tryptophan metabolic process; P:protein targeting; P:ion transport; P:sodium ion transport; P:amino acid transport; P:intracellular protein transport; P:response to oxidative stress; F:methyltransferase activity; F:thioredoxin peroxidase activity; P:cellular amino acid biosynthetic process; P:aromatic amino acid family biosynthetic process; P:DNA restriction-modification system; C:alkyl hydroperoxide reductase complex; P:cellular response to sulfate starvation; P:response to iron(III) ion; P:protein transport; F:symporter activity; F:glutamate:sodium symporter activity; C:membrane; C:integral component of membrane; F:antioxidant activity; F:oxidoreductase activity; F:oxidoreductase activity, acting on peroxide as acceptor; F:transferase activity; F:hydrolase activity; F:lyase activity; P:protein import; P:siderophore biosynthetic process; F:transmembrane transporter activity; P:methylation; F:hydroperoxide reductase activity; C:protein-DNA complex; P:response to hydroperoxide; P:response to alkyl hydroperoxide; F:identical protein binding; P:cell redox homeostasis; P:positive regulation of transcription, DNA-templated; P:response to antibiotic; F:metal ion binding; F:peroxiredoxin activity; F:carboxylic ester hydrolase activity; P:transmembrane transport; P:oxidation-reduction process; P:intracellular protein transmembrane transport; F:methyl indole-3-acetate esterase activity; P:C-5 methylation of cytosine; P:cellular oxidant detoxification			IPR001684 (PRINTS); IPR001684 (TIGRFAM); G3DSA:2.40.50.100 (GENE3D); IPR001684 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR001684 (PANTHER); IPR018261 (PROSITE_PATTERNS); IPR001684 (HAMAP); SSF110324 (SUPERFAMILY)	F:GO:0003735; C:GO:0005840; P:GO:0006412	F:structural constituent of ribosome; C:ribosome; P:translation
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00007	214419UniRef90_A0LCZ5 50S ribosomal protein L21 n=1 Tax=Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1) RepID=RL21_MAGMM	106	20	3.47449E-23	63.92	7	C:GO:0000786; F:GO:0003677; C:GO:0005634; C:GO:0005694; P:GO:0006352; C:GO:0042025; F:GO:0046982	C:nucleosome; F:DNA binding; C:nucleus; C:chromosome; P:DNA-templated transcription, initiation; C:host cell nucleus; F:protein heterodimerization activity			IPR001787 (TIGRFAM); IPR028909 (PFAM); IPR028909 (PANTHER); PTHR21349:SF3 (PANTHER); IPR018258 (PROSITE_PATTERNS); IPR001787 (HAMAP); IPR036164 (SUPERFAMILY)	F:GO:0003723; F:GO:0003735; C:GO:0005840; P:GO:0006412	F:RNA binding; F:structural constituent of ribosome; C:ribosome; P:translation
true	[INTERPRO, BLASTED]	CBNIABCL_00008	85052UniRef90_A8FKI7 Ferric uptake regulation protein n=77 Tax=Campylobacteraceae RepID=FUR_CAMJ8	111	20	6.67706E-26	61.58						IPR002481 (PFAM); IPR043135 (G3DSA:3.30.1490.GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR33202:SF2 (PANTHER); IPR002481 (PANTHER); IPR002481 (CDD); IPR036390 (SUPERFAMILY)	F:GO:0003700; P:GO:0006355	F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00009	316279UniRef90_Q8YQI3 Ycf48-like protein n=2 Tax=Nostocaceae RepID=YC48L_NOSS1	352	20	2.21682E-11	49.02	32	F:GO:0000166; P:GO:0000350; P:GO:0000378; F:GO:0000386; P:GO:0000398; F:GO:0003676; F:GO:0003723; F:GO:0003724; F:GO:0004386; F:GO:0004742; F:GO:0005198; F:GO:0005524; C:GO:0005634; C:GO:0005681; C:GO:0005739; C:GO:0005759; C:GO:0005967; P:GO:0006086; P:GO:0006397; F:GO:0008186; P:GO:0008380; F:GO:0009055; C:GO:0016020; C:GO:0016021; P:GO:0016073; F:GO:0016491; F:GO:0016746; F:GO:0016787; P:GO:0022904; F:GO:0034604; P:GO:0040031; C:GO:0071007	F:nucleotide binding; P:generation of catalytic spliceosome for second transesterification step; P:RNA exon ligation; F:second spliceosomal transesterification activity; P:mRNA splicing, via spliceosome; F:nucleic acid binding; F:RNA binding; F:RNA helicase activity; F:helicase activity; F:dihydrolipoyllysine-residue acetyltransferase activity; F:structural molecule activity; F:ATP binding; C:nucleus; C:spliceosomal complex; C:mitochondrion; C:mitochondrial matrix; C:mitochondrial pyruvate dehydrogenase complex; P:acetyl-CoA biosynthetic process from pyruvate; P:mRNA processing; F:RNA-dependent ATPase activity; P:RNA splicing; F:electron transfer activity; C:membrane; C:integral component of membrane; P:snRNA metabolic process; F:oxidoreductase activity; F:transferase activity, transferring acyl groups; F:hydrolase activity; P:respiratory electron transport chain; F:pyruvate dehydrogenase (NAD+) activity; P:snRNA modification; C:U2-type catalytic step 2 spliceosome			IPR015943 (G3DSA:2.130.10.GENE3D); IPR028203 (PFAM); PTHR47199 (PANTHER); PTHR47199 (PANTHER); PTHR47199:SF3 (PANTHER); PTHR47199:SF3 (PANTHER); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SignalP-noTM (SIGNALP_EUK); SSF110296 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, NO-BLAST]	CBNIABCL_00010	---NA---	315									SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS)	no GO terms	no GO terms
