locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDCPAMKM_00001	gene	1395	dnaA			
DDCPAMKM_00001	CDS	1395	dnaA		COG0593	Chromosomal replication initiator protein DnaA
DDCPAMKM_00002	gene	1158	dnaN			
DDCPAMKM_00002	CDS	1158	dnaN			Beta sliding clamp
DDCPAMKM_00003	gene	2445	gyrB			
DDCPAMKM_00003	CDS	2445	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
DDCPAMKM_00004	gene	2469	gyrA			
DDCPAMKM_00004	CDS	2469	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
DDCPAMKM_00005	gene	864	cpoB_1			
DDCPAMKM_00005	CDS	864	cpoB_1			Cell division coordinator CpoB
DDCPAMKM_00006	gene	639	queE			
DDCPAMKM_00006	CDS	639	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
DDCPAMKM_00007	gene	687	queC			
DDCPAMKM_00007	CDS	687	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
DDCPAMKM_00008	gene	1584	pepA			
DDCPAMKM_00008	CDS	1584	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
DDCPAMKM_00009	gene	489	smpB			
DDCPAMKM_00009	CDS	489	smpB		COG0691	SsrA-binding protein
DDCPAMKM_00010	gene	364	ssrA			
DDCPAMKM_00010	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
DDCPAMKM_00011	gene	288				
DDCPAMKM_00011	CDS	288				hypothetical protein
DDCPAMKM_00012	gene	2055	rapA			
DDCPAMKM_00012	CDS	2055	rapA	3.6.4.-		RNA polymerase-associated protein RapA
DDCPAMKM_00013	gene	456				
DDCPAMKM_00013	CDS	456				hypothetical protein
DDCPAMKM_00014	gene	1092				
DDCPAMKM_00014	CDS	1092				hypothetical protein
DDCPAMKM_00015	gene	750				
DDCPAMKM_00015	CDS	750				hypothetical protein
DDCPAMKM_00016	gene	321				
DDCPAMKM_00016	CDS	321				hypothetical protein
DDCPAMKM_00017	gene	981				
DDCPAMKM_00017	CDS	981				IS1595 family transposase ISLsp6
DDCPAMKM_00018	gene	921				
DDCPAMKM_00018	CDS	921				hypothetical protein
DDCPAMKM_00019	gene	300				
DDCPAMKM_00019	CDS	300				hypothetical protein
DDCPAMKM_00020	gene	186				
DDCPAMKM_00020	CDS	186				hypothetical protein
DDCPAMKM_00021	gene	297				
DDCPAMKM_00021	CDS	297				hypothetical protein
DDCPAMKM_00022	gene	309				
DDCPAMKM_00022	CDS	309				hypothetical protein
DDCPAMKM_00023	gene	216				
DDCPAMKM_00023	CDS	216				hypothetical protein
DDCPAMKM_00024	gene	1203				
DDCPAMKM_00024	CDS	1203				hypothetical protein
DDCPAMKM_00025	gene	429	mscL_1			
DDCPAMKM_00025	CDS	429	mscL_1			Large-conductance mechanosensitive channel
DDCPAMKM_00026	gene	156				
DDCPAMKM_00026	CDS	156				hypothetical protein
DDCPAMKM_00027	gene	1080				
DDCPAMKM_00027	CDS	1080				hypothetical protein
DDCPAMKM_00028	gene	1263	cdgJ			
DDCPAMKM_00028	CDS	1263	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
DDCPAMKM_00029	gene	1620				
DDCPAMKM_00029	CDS	1620				hypothetical protein
DDCPAMKM_00030	gene	3393				
DDCPAMKM_00030	CDS	3393				hypothetical protein
DDCPAMKM_00031	gene	3714				
DDCPAMKM_00031	CDS	3714				hypothetical protein
DDCPAMKM_00032	gene	663				
DDCPAMKM_00032	CDS	663				hypothetical protein
DDCPAMKM_00033	gene	1101	queA			
DDCPAMKM_00033	CDS	1101	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DDCPAMKM_00034	gene	651				
DDCPAMKM_00034	CDS	651				hypothetical protein
DDCPAMKM_00035	gene	1269				
DDCPAMKM_00035	CDS	1269				hypothetical protein
DDCPAMKM_00036	gene	2271	sasA_1			
DDCPAMKM_00036	CDS	2271	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DDCPAMKM_00037	gene	1362	atoC_1			
DDCPAMKM_00037	CDS	1362	atoC_1		COG2204	Regulatory protein AtoC
DDCPAMKM_00038	gene	1020				
DDCPAMKM_00038	CDS	1020				hypothetical protein
DDCPAMKM_00039	gene	726	bamD			
DDCPAMKM_00039	CDS	726	bamD			Outer membrane protein assembly factor BamD
DDCPAMKM_00040	gene	678	cysG_1			
DDCPAMKM_00040	CDS	678	cysG_1	4.99.1.4		Siroheme synthase
DDCPAMKM_00041	gene	204				
DDCPAMKM_00041	CDS	204				hypothetical protein
DDCPAMKM_00042	gene	84				
DDCPAMKM_00042	tRNA	84				tRNA-Leu(gag)
DDCPAMKM_00043	gene	1713	sfrB			
DDCPAMKM_00043	CDS	1713	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
DDCPAMKM_00044	gene	1008	porB			
DDCPAMKM_00044	CDS	1008	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
DDCPAMKM_00045	gene	1209	padG_1			
DDCPAMKM_00045	CDS	1209	padG_1	1.2.1.58		NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
DDCPAMKM_00046	gene	615	porC			
DDCPAMKM_00046	CDS	615	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
DDCPAMKM_00047	gene	975	pta			
DDCPAMKM_00047	CDS	975	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
DDCPAMKM_00048	gene	798	tpiA			
DDCPAMKM_00048	CDS	798	tpiA	5.3.1.1		Triosephosphate isomerase
DDCPAMKM_00049	gene	405				
DDCPAMKM_00049	CDS	405				hypothetical protein
DDCPAMKM_00050	gene	636	pyrE			
DDCPAMKM_00050	CDS	636	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
DDCPAMKM_00051	gene	153				
DDCPAMKM_00051	CDS	153				hypothetical protein
DDCPAMKM_00052	gene	2358	mrcA			
DDCPAMKM_00052	CDS	2358	mrcA		COG5009	Penicillin-binding protein 1A
DDCPAMKM_00053	gene	1023	gap			
DDCPAMKM_00053	CDS	1023	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
DDCPAMKM_00054	gene	1206	pgk			
DDCPAMKM_00054	CDS	1206	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
DDCPAMKM_00055	gene	333	secG			
DDCPAMKM_00055	CDS	333	secG		COG1314	Protein-export membrane protein SecG
DDCPAMKM_00056	gene	1605				
DDCPAMKM_00056	CDS	1605			COG0747	putative ABC transporter-binding protein
DDCPAMKM_00057	gene	969	dppB			
DDCPAMKM_00057	CDS	969	dppB		COG0601	Dipeptide transport system permease protein DppB
DDCPAMKM_00058	gene	1011				
DDCPAMKM_00058	CDS	1011				hypothetical protein
DDCPAMKM_00059	gene	678	gph_1			
DDCPAMKM_00059	CDS	678	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
DDCPAMKM_00060	gene	516				
DDCPAMKM_00060	CDS	516				hypothetical protein
DDCPAMKM_00061	gene	1350				
DDCPAMKM_00061	CDS	1350				IS1380 family transposase ISLefe1
DDCPAMKM_00062	gene	297				
DDCPAMKM_00062	CDS	297				hypothetical protein
DDCPAMKM_00063	gene	735	atpB			
DDCPAMKM_00063	CDS	735	atpB		COG0356	ATP synthase subunit a
DDCPAMKM_00064	gene	231	atpE			
DDCPAMKM_00064	CDS	231	atpE			ATP synthase subunit c, sodium ion specific
DDCPAMKM_00065	gene	516	atpF			
DDCPAMKM_00065	CDS	516	atpF		COG0711	ATP synthase subunit b
DDCPAMKM_00066	gene	564	atpD			
DDCPAMKM_00066	CDS	564	atpD			ATP synthase subunit delta
DDCPAMKM_00067	gene	1503	atpA			
DDCPAMKM_00067	CDS	1503	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
DDCPAMKM_00068	gene	879	atpG			
DDCPAMKM_00068	CDS	879	atpG		COG0224	ATP synthase gamma chain
DDCPAMKM_00069	gene	1392	atpD1			
DDCPAMKM_00069	CDS	1392	atpD1	7.1.2.2		ATP synthase subunit beta 1
DDCPAMKM_00070	gene	447	atpC			
DDCPAMKM_00070	CDS	447	atpC		COG0355	ATP synthase epsilon chain
DDCPAMKM_00071	gene	870	gloB_1			
DDCPAMKM_00071	CDS	870	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
DDCPAMKM_00072	gene	972				
DDCPAMKM_00072	CDS	972				hypothetical protein
DDCPAMKM_00073	gene	77				
DDCPAMKM_00073	tRNA	77				tRNA-Pro(tgg)
DDCPAMKM_00074	gene	657				
DDCPAMKM_00074	CDS	657				hypothetical protein
DDCPAMKM_00075	gene	1260				
DDCPAMKM_00075	CDS	1260				IS256 family transposase ISOan6
DDCPAMKM_00076	gene	897				
DDCPAMKM_00076	CDS	897				hypothetical protein
DDCPAMKM_00077	gene	357				
DDCPAMKM_00077	CDS	357				IS3 family transposase ISGur6
DDCPAMKM_00078	gene	1005				
DDCPAMKM_00078	CDS	1005				IS3 family transposase ISGur6
DDCPAMKM_00079	gene	525				
DDCPAMKM_00079	CDS	525				IS3 family transposase ISGur6
DDCPAMKM_00080	gene	432				
DDCPAMKM_00080	CDS	432				hypothetical protein
DDCPAMKM_00081	gene	132				
DDCPAMKM_00081	CDS	132				hypothetical protein
DDCPAMKM_00082	gene	471				
DDCPAMKM_00082	CDS	471				hypothetical protein
DDCPAMKM_00083	gene	651				
DDCPAMKM_00083	CDS	651				hypothetical protein
DDCPAMKM_00084	gene	378				
DDCPAMKM_00084	CDS	378				hypothetical protein
DDCPAMKM_00085	gene	303				
DDCPAMKM_00085	CDS	303				hypothetical protein
DDCPAMKM_00086	gene	573	ylaC			
DDCPAMKM_00086	CDS	573	ylaC			RNA polymerase sigma factor YlaC
DDCPAMKM_00087	gene	684	ctrA			
DDCPAMKM_00087	CDS	684	ctrA			Cell cycle response regulator CtrA
DDCPAMKM_00088	gene	1425	sasA_2			
DDCPAMKM_00088	CDS	1425	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
DDCPAMKM_00089	gene	513				
DDCPAMKM_00089	CDS	513				hypothetical protein
DDCPAMKM_00090	gene	414				
DDCPAMKM_00090	CDS	414				hypothetical protein
DDCPAMKM_00091	gene	480	arsC			
DDCPAMKM_00091	CDS	480	arsC	1.20.4.4		Arsenate reductase
DDCPAMKM_00092	gene	372	arsD			
DDCPAMKM_00092	CDS	372	arsD			Arsenical resistance operon trans-acting repressor ArsD
DDCPAMKM_00093	gene	1797	arsA			
DDCPAMKM_00093	CDS	1797	arsA	7.3.2.7		Arsenical pump-driving ATPase
DDCPAMKM_00094	gene	201				
DDCPAMKM_00094	CDS	201				hypothetical protein
DDCPAMKM_00095	gene	291				
DDCPAMKM_00095	CDS	291				hypothetical protein
DDCPAMKM_00096	gene	1008	adhT			
DDCPAMKM_00096	CDS	1008	adhT	1.1.1.1		Alcohol dehydrogenase
DDCPAMKM_00097	gene	1371				
DDCPAMKM_00097	CDS	1371				hypothetical protein
DDCPAMKM_00098	gene	1245	nhaP			
DDCPAMKM_00098	CDS	1245	nhaP			K(+)/H(+) antiporter NhaP
DDCPAMKM_00099	gene	282	rcnR			
DDCPAMKM_00099	CDS	282	rcnR		COG1937	Transcriptional repressor RcnR
DDCPAMKM_00100	gene	1221				
DDCPAMKM_00100	CDS	1221				ISNCY family transposase ISCARN112
DDCPAMKM_00101	gene	531				
DDCPAMKM_00101	CDS	531				hypothetical protein
DDCPAMKM_00102	gene	1089				
DDCPAMKM_00102	CDS	1089				hypothetical protein
DDCPAMKM_00103	gene	762				
DDCPAMKM_00103	CDS	762				hypothetical protein
DDCPAMKM_00104	gene	393	gloA			
DDCPAMKM_00104	CDS	393	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
DDCPAMKM_00105	gene	1905	acsA			
DDCPAMKM_00105	CDS	1905	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
DDCPAMKM_00106	gene	318				
DDCPAMKM_00106	CDS	318				hypothetical protein
DDCPAMKM_00107	gene	852				
DDCPAMKM_00107	CDS	852				hypothetical protein
DDCPAMKM_00108	gene	174				
DDCPAMKM_00108	CDS	174				hypothetical protein
DDCPAMKM_00109	gene	831	thiG			
DDCPAMKM_00109	CDS	831	thiG	2.8.1.10	COG2022	Thiazole synthase
DDCPAMKM_00110	gene	627	thiE_1			
DDCPAMKM_00110	CDS	627	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
DDCPAMKM_00111	gene	891				
DDCPAMKM_00111	CDS	891				hypothetical protein
DDCPAMKM_00112	gene	816	thiD			
DDCPAMKM_00112	CDS	816	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
DDCPAMKM_00113	gene	1041				
DDCPAMKM_00113	CDS	1041				hypothetical protein
DDCPAMKM_00114	gene	3129				
DDCPAMKM_00114	CDS	3129				hypothetical protein
DDCPAMKM_00115	gene	741				
DDCPAMKM_00115	CDS	741				hypothetical protein
DDCPAMKM_00116	gene	1743	thrZ			
DDCPAMKM_00116	CDS	1743	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
DDCPAMKM_00117	gene	423	infC			
DDCPAMKM_00117	CDS	423	infC			Translation initiation factor IF-3
DDCPAMKM_00118	gene	201				
DDCPAMKM_00118	CDS	201				hypothetical protein
DDCPAMKM_00119	gene	354	rplT			
DDCPAMKM_00119	CDS	354	rplT			50S ribosomal protein L20
DDCPAMKM_00120	gene	1698				
DDCPAMKM_00120	CDS	1698				hypothetical protein
DDCPAMKM_00121	gene	1569				
DDCPAMKM_00121	CDS	1569				hypothetical protein
DDCPAMKM_00122	gene	1065	btuD_1			
DDCPAMKM_00122	CDS	1065	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DDCPAMKM_00123	gene	1026	dppD			
DDCPAMKM_00123	CDS	1026	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
DDCPAMKM_00124	gene	396	queD			
DDCPAMKM_00124	CDS	396	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
DDCPAMKM_00125	gene	972				
DDCPAMKM_00125	CDS	972				hypothetical protein
DDCPAMKM_00126	gene	1122	hcf136_1			
DDCPAMKM_00126	CDS	1122	hcf136_1			Ycf48-like protein
DDCPAMKM_00127	gene	501				
DDCPAMKM_00127	CDS	501				hypothetical protein
DDCPAMKM_00128	gene	75				
DDCPAMKM_00128	tRNA	75				tRNA-Gly(gcc)
DDCPAMKM_00129	gene	264				
DDCPAMKM_00129	CDS	264				hypothetical protein
DDCPAMKM_00130	gene	1374				
DDCPAMKM_00130	CDS	1374				hypothetical protein
DDCPAMKM_00131	gene	714				
DDCPAMKM_00131	CDS	714				hypothetical protein
DDCPAMKM_00132	gene	186				
DDCPAMKM_00132	CDS	186				hypothetical protein
DDCPAMKM_00133	gene	408				
DDCPAMKM_00133	CDS	408				hypothetical protein
DDCPAMKM_00134	gene	837				
DDCPAMKM_00134	CDS	837				hypothetical protein
DDCPAMKM_00135	gene	195				
DDCPAMKM_00135	CDS	195				hypothetical protein
DDCPAMKM_00136	gene	231				
DDCPAMKM_00136	CDS	231				hypothetical protein
DDCPAMKM_00137	gene	288				
DDCPAMKM_00137	CDS	288				hypothetical protein
DDCPAMKM_00138	gene	291				
DDCPAMKM_00138	CDS	291				hypothetical protein
DDCPAMKM_00139	gene	108				
DDCPAMKM_00139	CDS	108				hypothetical protein
DDCPAMKM_00140	gene	213				
DDCPAMKM_00140	CDS	213				hypothetical protein
DDCPAMKM_00141	gene	165				
DDCPAMKM_00141	CDS	165				hypothetical protein
DDCPAMKM_00142	gene	354				
DDCPAMKM_00142	CDS	354				hypothetical protein
DDCPAMKM_00143	gene	201				
DDCPAMKM_00143	CDS	201				hypothetical protein
DDCPAMKM_00144	gene	303				
DDCPAMKM_00144	CDS	303				hypothetical protein
DDCPAMKM_00145	gene	282				
DDCPAMKM_00145	CDS	282				hypothetical protein
DDCPAMKM_00146	gene	939	rhaS			
DDCPAMKM_00146	CDS	939	rhaS			HTH-type transcriptional activator RhaS
DDCPAMKM_00147	gene	1005	iolS_1			
DDCPAMKM_00147	CDS	1005	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
DDCPAMKM_00148	gene	1059	adhC2_1			
DDCPAMKM_00148	CDS	1059	adhC2_1	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C 2
DDCPAMKM_00149	gene	1275				
DDCPAMKM_00149	CDS	1275				hypothetical protein
DDCPAMKM_00150	gene	1338	yhjE			
DDCPAMKM_00150	CDS	1338	yhjE			Inner membrane metabolite transport protein YhjE
DDCPAMKM_00151	gene	321				
DDCPAMKM_00151	CDS	321				hypothetical protein
DDCPAMKM_00152	gene	543				
DDCPAMKM_00152	CDS	543				hypothetical protein
DDCPAMKM_00153	gene	240				
DDCPAMKM_00153	CDS	240				hypothetical protein
DDCPAMKM_00154	gene	1350				
DDCPAMKM_00154	CDS	1350				IS1380 family transposase ISLefe1
DDCPAMKM_00155	gene	393				
DDCPAMKM_00155	CDS	393				hypothetical protein
DDCPAMKM_00156	gene	1143				
DDCPAMKM_00156	CDS	1143				hypothetical protein
DDCPAMKM_00157	gene	1590				
DDCPAMKM_00157	CDS	1590				hypothetical protein
DDCPAMKM_00158	gene	1089				
DDCPAMKM_00158	CDS	1089				hypothetical protein
DDCPAMKM_00159	gene	1668	ettA			
DDCPAMKM_00159	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
DDCPAMKM_00160	gene	414				
DDCPAMKM_00160	CDS	414				hypothetical protein
DDCPAMKM_00161	gene	1650	merA_1			
DDCPAMKM_00161	CDS	1650	merA_1	1.16.1.1	COG1249	Mercuric reductase
DDCPAMKM_00162	gene	408	merR1			
DDCPAMKM_00162	CDS	408	merR1			Mercuric resistance operon regulatory protein
DDCPAMKM_00163	gene	1467				
DDCPAMKM_00163	CDS	1467				hypothetical protein
DDCPAMKM_00164	gene	1092	smc			
DDCPAMKM_00164	CDS	1092	smc			Chromosome partition protein Smc
DDCPAMKM_00165	gene	1275	cpdA			
DDCPAMKM_00165	CDS	1275	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
